model,prompt,cwe,n,accuracy,recall,specificity,precision,f1
gpt-4.1-mini,zero-shot,CWE-328,236,0.4406779661016949,0.13953488372093023,0.8037383177570093,0.46153846153846156,0.21428571428571427
gpt-4.1-mini,zero-shot,CWE-330,493,0.7221095334685599,0.38990825688073394,0.9854545454545455,0.9550561797752809,0.5537459283387622
gpt-4.1-mini,zero-shot,CWE-614,67,0.746268656716418,0.6944444444444444,0.8064516129032258,0.8064516129032258,0.746268656716418
gpt-4.1-mini,zero-shot,CWE-643,35,0.6571428571428571,1,0.4,0.5555555555555556,0.7142857142857143
gpt-4.1-mini,zero-shot,CWE-78,251,0.6374501992031872,1,0.272,0.5806451612903226,0.7346938775510204
gpt-4.1-mini,zero-shot,CWE-79,455,0.6703296703296703,0.983739837398374,0.3014354066985646,0.6237113402061856,0.7634069400630914
gpt-4.1-mini,zero-shot,CWE-89,504,0.6607142857142857,0.9558823529411765,0.3146551724137931,0.6205250596658711,0.7525325615050652
gpt-4.1-mini,zero-shot,CWE-90,59,0.7457627118644068,1,0.53125,0.6428571428571429,0.782608695652174
gpt-4.1-mini,few-shot,CWE-22,268,0.6977611940298507,0.9849624060150376,0.4148148148148148,0.6238095238095238,0.7638483965014579
gpt-4.1-mini,few-shot,CWE-327,246,0.7235772357723578,0.9846153846153847,0.43103448275862066,0.6597938144329897,0.7901234567901235
gpt-4.1-mini,few-shot,CWE-328,236,0.5677966101694916,0.4496124031007752,0.7102803738317757,0.651685393258427,0.5321100917431193
gpt-4.1-mini,few-shot,CWE-330,493,0.7403651115618661,0.41284403669724773,1,1,0.5844155844155845
gpt-4.1-mini,few-shot,CWE-614,67,0.6567164179104478,0.5,0.8387096774193549,0.782608695652174,0.6101694915254238
gpt-4.1-mini,few-shot,CWE-643,35,0.6,1,0.3,0.5172413793103449,0.6818181818181819
gpt-4.1-mini,few-shot,CWE-78,251,0.6533864541832669,1,0.304,0.5915492957746479,0.743362831858407
gpt-4.1-mini,few-shot,CWE-79,455,0.7120879120879121,0.9471544715447154,0.4354066985645933,0.6638176638176638,0.7805695142378558
gpt-4.1-mini,few-shot,CWE-89,504,0.6646825396825397,0.9411764705882353,0.34051724137931033,0.6259168704156479,0.7518355359765052
gpt-4.1-mini,few-shot,CWE-90,59,0.6949152542372882,1,0.4375,0.6,0.7499999999999999
gpt-4.1-mini,cot,CWE-22,268,0.9328358208955224,0.9548872180451128,0.9111111111111111,0.9136690647482014,0.9338235294117647
