model,prompting_type,cwe,tp,fp,tn,fn,accuracy,precision,recall,f1,tp_fpm,fp_fpm,tn_fpm,fn_fpm,recall_fpm,specificity_fpm,precision_fpm,bal_accuracy_fpm,avg_input_tokens,avg_reasoning_tokens,avg_output_tokens,avg_cost,total_cost,avg_time,total_errors
gemini-2.5-pro,few-shot,CWE-614,36,0,31,0,1.0000,1.0000,1.0000,1.0000,36,0,0,0,1.0000,0.0000,1.0000,0.5000,2374.6111,799.2778,2.0000,0.0110,0.3953,8.9071,0
gemini-2.5-pro,few-shot,CWE-643,14,0,20,1,0.9714,1.0000,0.9333,0.9655,14,0,12,0,1.0000,1.0000,1.0000,1.0000,2466.4231,988.9615,2.0000,0.0130,0.3378,9.7717,0
gemini-2.5-pro,few-shot,all,1157,13,1269,175,0.9281,0.9889,0.8686,0.9249,1157,13,431,3,0.9974,0.9707,0.9889,0.9841,2567.5355,1011.9227,2.0000,0.0133,21.4112,9.8812,0
gemini-2.5-pro,zero-shot,CWE-22,114,0,135,19,0.9291,1.0000,0.8571,0.9231,114,0,94,4,0.9661,1.0000,1.0000,0.9831,1493.4953,1278.8113,2.0000,0.0147,3.1111,11.8025,0
gemini-2.5-pro,zero-shot,CWE-328,89,0,107,40,0.8305,1.0000,0.6899,0.8165,89,0,0,0,1.0000,0.0000,1.0000,0.5000,1484.6517,843.7191,2.0000,0.0103,0.9179,8.4725,0
gemini-2.5-pro,zero-shot,CWE-327,130,0,116,0,1.0000,1.0000,1.0000,1.0000,130,0,0,0,1.0000,0.0000,1.0000,0.5000,1689.5385,467.5154,2.0000,0.0068,0.8849,5.0924,0
gemini-2.5-pro,zero-shot,CWE-78,115,3,122,11,0.9442,0.9746,0.9127,0.9426,115,3,68,0,1.0000,0.9577,0.9746,0.9789,1154.4140,1479.5215,2.0000,0.0163,3.0240,13.6497,0
gemini-2.5-pro,zero-shot,CWE-89,196,15,217,76,0.8194,0.9289,0.7206,0.8116,196,15,97,0,1.0000,0.8661,0.9289,0.9330,1110.8506,1312.9286,2.0000,0.0145,4.4777,12.1287,0
gemini-2.5-pro,zero-shot,CWE-330,218,11,264,0,0.9777,0.9520,1.0000,0.9754,218,11,12,0,1.0000,0.5217,0.9520,0.7609,1488.5685,810.0207,2.0000,0.0100,2.4054,8.0173,0
gemini-2.5-pro,zero-shot,CWE-90,24,4,28,3,0.8814,0.8571,0.8889,0.8727,24,4,13,0,1.0000,0.7647,0.8571,0.8824,1440.0488,1530.7073,2.0000,0.0171,0.7022,14.2617,0
gemini-2.5-pro,zero-shot,CWE-79,220,5,204,26,0.9319,0.9778,0.8943,0.9342,220,5,110,0,1.0000,0.9565,0.9778,0.9783,1446.3313,1225.3224,2.0000,0.0141,4.7172,11.3943,0
gemini-2.5-pro,zero-shot,CWE-614,36,0,31,0,1.0000,1.0000,1.0000,1.0000,36,0,0,0,1.0000,0.0000,1.0000,0.5000,1180.6111,688.6389,2.0000,0.0084,0.3018,6.9925,0
gemini-2.5-pro,zero-shot,CWE-643,14,0,20,1,0.9714,1.0000,0.9333,0.9655,14,0,12,0,1.0000,1.0000,1.0000,1.0000,1272.4231,1128.9615,2.0000,0.0129,0.3354,10.6460,0
gemini-2.5-pro,zero-shot,all,1156,38,1244,176,0.9181,0.9682,0.8679,0.9153,1156,38,406,4,0.9966,0.9144,0.9682,0.9555,1373.5355,1127.8990,2.0000,0.0130,20.8775,10.6329,0
gpt-4.1-mini,cot,CWE-22,106,6,129,27,0.8769,0.9464,0.7970,0.8653,106,6,88,12,0.8983,0.9362,0.9464,0.9172,1356.5330,0.0000,571.1321,0.0015,0.3088,9.0594,0
gpt-4.1-mini,cot,CWE-328,82,0,107,47,0.8008,1.0000,0.6357,0.7773,82,0,0,7,0.9213,0.0000,1.0000,0.4607,1315.5393,0.0000,563.1236,0.0014,0.1270,10.9819,0
gpt-4.1-mini,cot,CWE-327,130,0,116,0,1.0000,1.0000,1.0000,1.0000,130,0,0,0,1.0000,0.0000,1.0000,0.5000,1477.3308,0.0000,460.1385,0.0013,0.1725,8.8659,0
gpt-4.1-mini,cot,CWE-78,112,1,124,14,0.9402,0.9912,0.8889,0.9372,112,1,70,3,0.9739,0.9859,0.9912,0.9799,1047.8978,0.0000,624.7634,0.0014,0.2639,14.6835,0
gpt-4.1-mini,cot,CWE-89,196,0,231,76,0.8489,1.0000,0.7206,0.8376,196,0,111,0,1.0000,1.0000,1.0000,1.0000,1008.0844,0.0000,508.7013,0.0012,0.3749,9.2908,1
gpt-4.1-mini,cot,CWE-330,218,0,275,0,1.0000,1.0000,1.0000,1.0000,218,0,23,0,1.0000,1.0000,1.0000,1.0000,1341.0415,0.0000,481.6929,0.0013,0.3150,9.2465,0
gpt-4.1-mini,cot,CWE-90,24,1,31,3,0.9322,0.9600,0.8889,0.9231,24,1,16,0,1.0000,0.9412,0.9600,0.9706,1265.6098,0.0000,534.2439,0.0014,0.0558,13.0009,0
gpt-4.1-mini,cot,CWE-79,220,4,204,26,0.9339,0.9821,0.8943,0.9362,220,4,110,0,1.0000,0.9649,0.9821,0.9825,1367.4507,0.0000,531.8746,0.0014,0.4683,9.9845,1
gpt-4.1-mini,cot,CWE-614,36,0,31,0,1.0000,1.0000,1.0000,1.0000,36,0,0,0,1.0000,0.0000,1.0000,0.5000,1077.8333,0.0000,549.5556,0.0013,0.0472,8.5199,0
gpt-4.1-mini,cot,CWE-643,14,0,20,1,0.9714,1.0000,0.9333,0.9655,14,0,12,0,1.0000,1.0000,1.0000,1.0000,1118.2692,0.0000,499.7308,0.0012,0.0324,7.8780,0
gpt-4.1-mini,cot,all,1138,12,1268,194,0.9211,0.9896,0.8544,0.9170,1138,12,430,22,0.9810,0.9729,0.9896,0.9769,1248.8616,0.0000,531.7014,0.0014,2.1658,10.1378,2
gpt-4.1-mini,few-shot,CWE-22,118,93,42,15,0.5970,0.5592,0.8872,0.6860,118,93,1,0,1.0000,0.0106,0.5592,0.5053,2475.5330,0.0000,3.9953,0.0010,0.2113,0.8730,0
gpt-4.1-mini,few-shot,CWE-328,89,0,107,40,0.8305,1.0000,0.6899,0.8165,89,0,0,0,1.0000,0.0000,1.0000,0.5000,2434.5393,0.0000,4.0000,0.0010,0.0872,1.0918,0
gpt-4.1-mini,few-shot,CWE-327,130,0,116,0,1.0000,1.0000,1.0000,1.0000,130,0,0,0,1.0000,0.0000,1.0000,0.5000,2596.3308,0.0000,4.0000,0.0010,0.1358,0.7578,0
gpt-4.1-mini,few-shot,CWE-78,115,70,55,11,0.6773,0.6216,0.9127,0.7395,115,70,1,0,1.0000,0.0141,0.6216,0.5070,2166.8978,0.0000,3.9946,0.0009,0.1624,0.7148,0
gpt-4.1-mini,few-shot,CWE-89,196,109,123,76,0.6329,0.6426,0.7206,0.6794,196,109,3,0,1.0000,0.0268,0.6426,0.5134,2130.5909,0.0000,3.9903,0.0009,0.2645,0.6633,0
gpt-4.1-mini,few-shot,CWE-330,218,0,275,0,1.0000,1.0000,1.0000,1.0000,218,0,23,0,1.0000,1.0000,1.0000,1.0000,2460.0415,0.0000,3.9046,0.0010,0.2387,0.6792,0
gpt-4.1-mini,few-shot,CWE-90,24,16,16,3,0.6780,0.6000,0.8889,0.7164,24,16,1,0,1.0000,0.0588,0.6000,0.5294,2384.6098,0.0000,3.9756,0.0010,0.0394,0.7594,0
gpt-4.1-mini,few-shot,CWE-79,220,108,101,26,0.7055,0.6707,0.8943,0.7666,220,108,7,0,1.0000,0.0609,0.6707,0.5304,2490.8328,0.0000,3.9791,0.0010,0.3359,0.9326,0
gpt-4.1-mini,few-shot,CWE-614,36,0,31,0,1.0000,1.0000,1.0000,1.0000,36,0,0,0,1.0000,0.0000,1.0000,0.5000,2196.8333,0.0000,4.0000,0.0009,0.0319,0.5482,0
gpt-4.1-mini,few-shot,CWE-643,14,11,9,1,0.6571,0.5600,0.9333,0.7000,14,11,1,0,1.0000,0.0833,0.5600,0.5417,2237.2692,0.0000,3.9615,0.0009,0.0234,0.6480,0
gpt-4.1-mini,few-shot,all,1160,407,875,172,0.7785,0.7403,0.8709,0.8003,1160,407,37,0,1.0000,0.0833,0.7403,0.5417,2369.4501,0.0000,3.9769,0.0010,1.5304,0.7867,0
gpt-4.1-mini,zero-shot,CWE-22,118,85,50,15,0.6269,0.5813,0.8872,0.7024,118,85,9,0,1.0000,0.0957,0.5813,0.5479,1338.5330,0.0000,3.9575,0.0005,0.1148,0.7011,0
gpt-4.1-mini,zero-shot,CWE-328,89,0,107,40,0.8305,1.0000,0.6899,0.8165,89,0,0,0,1.0000,0.0000,1.0000,0.5000,1297.5393,0.0000,4.0000,0.0005,0.0468,0.8316,0
gpt-4.1-mini,zero-shot,CWE-327,130,0,116,0,1.0000,1.0000,1.0000,1.0000,130,0,0,0,1.0000,0.0000,1.0000,0.5000,1459.3308,0.0000,4.0000,0.0006,0.0767,0.7701,0
gpt-4.1-mini,zero-shot,CWE-78,115,46,79,11,0.7729,0.7143,0.9127,0.8014,115,46,25,0,1.0000,0.3521,0.7143,0.6761,1029.8978,0.0000,3.8656,0.0004,0.0778,0.7770,0
gpt-4.1-mini,zero-shot,CWE-89,196,84,148,76,0.6825,0.7000,0.7206,0.7101,196,84,28,0,1.0000,0.2500,0.7000,0.6250,993.5909,0.0000,3.9091,0.0004,0.1243,0.8368,0
gpt-4.1-mini,zero-shot,CWE-330,218,8,267,0,0.9838,0.9646,1.0000,0.9820,218,8,15,0,1.0000,0.6522,0.9646,0.8261,1323.0415,0.0000,3.9378,0.0005,0.1291,0.9200,0
gpt-4.1-mini,zero-shot,CWE-90,24,11,21,3,0.7627,0.6857,0.8889,0.7742,24,11,6,0,1.0000,0.3529,0.6857,0.6765,1247.6098,0.0000,3.8537,0.0005,0.0207,0.6542,0
